"","Major","Minor","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","Address"
"9213",149830,3190,"CENTER PARK APTS",2,7,150,630,3,4,0,3,5,3,1969,1989,100,"Y","Y","N",1,"2100 25TH AVE S 98144"
"9217",149830,661,"4-PLEX",1,2,4,901,3,3,50,4,5,4,1951,1988,100,"N","N","N",0,"2005 13TH AVE S 98144"
"9257",872820,0,"4 UNIT CONDO",1,2,4,908,2,3,0,4,4,3,1983,1990,100,"N","N"," ",2,"2700 S HOLGATE ST 98144"
"9280",524780,335," ",1,7,21,804,3,3,0,3,5,4,1905,1982,0,"Y","Y","N",1,"316 1ST AVE S 98104"
"9301",341660,400,"5 UNIT APART",1,3,5,761,3,3,20,4,3,2,1917,1968,100,"N","N","N",1,"117 32ND AVE S 98144"
"9327",159460,80,"4-PLEX",1,1,4,598,3,2,0,4,2,3,1904,1970,100,"N","N","N",0,"2468 S COLLEGE ST 98144"
"9338",859090,720,"CHARLOTTE APARTMENTS",1,4,13,602,3,2,0,4,3,3,1982,1985,100,"N","Y","N",1,"1106 CHERRY ST 98104"
"9359",365010,40,"APT",1,2,4,616,3,3,0,4,2,3,1906,1970,100,"N","N","N",0,"3326 BEACON AVE S 98144"
"9393",539360,512,"",1,2,4,975,3,3,0,4,6,3,2003,2003,100," "," "," ",1,"2307 15TH AVE S 98144"
"9397",282960,260,"13 UNIT APT",1,2,13,491,3,3,50,3,5,3,1958,1984,100,"N","N","N",1,"1120 14TH AVE S 98144"
"9409",713330,110,"APARTMENTS",1,3,8,503,0,0,25,4,4,3,1910,1974,100,"N","N","N",1,"1348 14TH AVE S 98144"
"9541",367940,150,"APTS",1,3,9,669,3,3,0,4,5,3,1956,1983,100,"N","N","N",0,"3641 15TH AVE S 98144"
"9613",92404,9006,"THE CENTURY HOUSE",1,4,83,534,0,0,0,4,4,3,1971,1985,100,"Y","Y","N",1,"1701 23RD AVE S 98144"
"9627",766060,40,"APARTMENTS",1,1,4,545,3,3,0,4,4,3,1955,1979,100,"N","N","N",1,"1334 13TH AVE S 98144"
"9640",983420,585,"4 PLEX",1,2,4,862,3,3,0,4,4,3,1956,1979,100,"N","N","N",1,"3608 YORK RD S 98144"
"9658",859090,160,"",1,7,51,613,2,3,41,2,4,4,1960,1985,100,"Y","Y","N",1,"600 9TH AVE 98104"
