"","Major","Minor","BldgNbr","NbrBldgs","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode","NbrStories","PredominantUse","Shape","ConstrClass","BldgQuality","BldgDescr","BldgGrossSqFt","BldgNetSqFt","YrBuilt","EffYr","PcntComplete","HeatingSystem","Sprinklers","Elevators"
"1118",766620,7045,1,3,"1531         UTAH                      AVE  S  98134","1531","   ","  ","UTAH                     ","AVE ","S ","98134",6,840,4,2,6,"MIXED USE OFC / MFG / SALES & SERVICE             ",283057,195689,2009,2009,100,17,"Y","Y"
"1119",524780,2335,1,1,"667       S  JACKSON                   ST      98104","667","   ","S ","JACKSON                  ","ST  ","  ","98104",2,840,2,3,4,"MIXED USED OFFICE BUILDING                        ",11920,11920,1915,1970,100,3,"N"," "
"1120",524780,2680,1,1,"508   1/2    7TH                       AVE  S  98104","508","2-Jan","  ","7TH                      ","AVE ","S ","98104",4,300,2,3,2,"RETAIL+(15)SRO(3)STUDIO(4)1 BDR                   ",72840,28400,1910,1960,100,1,"N"," "
"1121",766620,4590,1,1,"1703         6TH                       AVE  S  98134","1703","   ","  ","6TH                      ","AVE ","S ","98134",1,407,2,3,4,"WAREHOUSE                                         ",111908,111908,1987,1987,100,6,"N"," "
"1122",331950,665,1,1,"1641      S  JACKSON                   ST      98144","1641","   ","S ","JACKSON                  ","ST  ","  ","98144",3,344,2,4,6,"Office Bldg                                       ",5946,5352,2012,2012,100,17,"Y","Y"
"1123",93900,155,1,1,"601          2ND                       AVE     98104","601","   ","  ","2ND                      ","AVE ","  ","98104",12,345,3,2,6,"PARKING GARAGE W/RETAIL ON 2ND AVE LEVEL          ",149040,149040,2001,2001,100,20,"Y","Y"
"1124",331950,1475,2,1,"1711      S  JACKSON                   ST      98144","1711","   ","S ","JACKSON                  ","ST  ","  ","98144",1,407,2,3,2,"WAREHOUSE                                         ",2010,2010,1956,1956,100,20,"N"," "
"1125",684365,0,1,1,"827          HIAWATHA                  PL   S  98144","827","   ","  ","HIAWATHA                 ","PL  ","S ","98144",6,848,2,5,4,"Condominium                                       ",9545,9545,2009,2009,100,2," ","Y"
"1126",817010,20,1,1,"1019      S  JACKSON                   ST      98104","1019","   ","S ","JACKSON                  ","ST  ","  ","98104",2,830,2,3,2,"MIXED USE RETAIL/OFFICE BUILDING                  ",5200,4500,1932,1932,100,4,"N"," "
"1127",524780,720,1,1,"315          2ND                       AVE  S  98104","315","   ","  ","2ND                      ","AVE ","S ","98104",3,840,2,3,6,"OFFICE BUILDING                                   ",25920,21778,1900,1990,100,17,"Y","Y"
"1128",859040,545,5,1,"908          JEFFERSON                 ST      98104","908","   ","  ","JEFFERSON                ","ST  ","  ","98104",1,426,3,4,4,"THE COTTAGE SCHOOL - DAYCARE                      ",5700,5700,1997,1997,100,3," "," "
"1129",149830,2486,1,1,"2009         RAINIER                   AVE  S  98144","2009","   ","  ","RAINIER                  ","AVE ","S ","98144",1,419,2,4,4,"CONVENIENCE STORE W/Gas                           ",2400,2400,1983,1990,100,14,"N"," "
"1130",766620,4210,3,1,"2901         6TH                       AVE  S  98134","2901","   ","  ","6TH                      ","AVE ","S ","98134",1,447,2,5,2,"REFRIGERATION BLDG                                ",1560,1560,1978,1980,100,19,"N"," "
"1131",766670,2155,1,1,"3444         13TH                      AVE  SW 98134","3444","   ","  ","13TH                     ","AVE ","SW","98134",2,344,2,5,3,"MELTEC OFFICE & DRESSING ROOM                     ",4400,4400,1979,1984,100,14,"N"," "
"1132",766620,5336,4,1,"2733         3RD                       AVE  S  98134","2733","   ","  ","3RD                      ","AVE ","S ","98134",1,344,2,4,4,"OFFICE BLDG                                       ",2950,2950,1949,1959,100,20,"N"," "
"1133",934440,300,1,1,"2401      S  IRVING                    ST      98144","2401","   ","S ","IRVING                   ","ST  ","  ","98144",2,365,2,3,4,"SCHOOL                                            ",58236,58236,1991,1991,100,14,"N"," "
"1134",617290,222,3,1,"3857         2ND                       AVE  S  98134","3857","   ","  ","2ND                      ","AVE ","S ","98134",1,407,2,5,2,"WHSE                                              ",9590,9590,1994,1994,100,0,"N"," "
"1135",524780,530,1,1,"115          OCCIDENTAL                AVE  S  98104","115","   ","  ","OCCIDENTAL               ","AVE ","S ","98104",1,353,2,3,4,"MED-MIX                                           ",6000,3000,1900,1960,100,6,"N"," "
"1136",766670,285,1,1,"3633         EAST MARGINAL             WAY  S  98134","3633","   ","  ","EAST MARGINAL            ","WAY ","S ","98134",1,406,4,3,4,"SHOP                                              ",14146,14146,1942,1959,100,6,"N"," "
"1137",90700,90,1,1,"2528         BEACON                    AVE  S  98144","2528","   ","  ","BEACON                   ","AVE ","S ","98144",2,459,2,4,4,"RETAIL STORE W/MULTI RES UNITS ATTACHED           ",4602,4602,1908,1980,100,3,"N"," "
"1138",332000,350,1,1,"1401      S  JACKSON                   ST      98144","1401","   ","S ","JACKSON                  ","ST  ","  ","98144",1,353,2,3,4,"AUTO SEAT COVERS                                  ",3060,3060,1956,1990,100,6,"N"," "
"1139",360,7,1,1,"2543         RAINIER                   AVE  S  98144","2543","   ","  ","RAINIER                  ","AVE ","S ","98144",1,349,2,4,5,"FAST FOOD RESTAURANT (WENDY'S)                    ",2674,2674,1978,1998,100,12,"N"," "
"1140",524780,1910,1,1,"515          MAYNARD                   AVE  S  98104","515","   ","  ","MAYNARD                  ","AVE ","S ","98104",4,459,2,3,4,"RETAIL/OFFICE BUILDING W/APARTMENT UNITS          ",36000,34000,1910,1975,100,2,"N"," "
"1141",197920,125,1,3,"1000         8TH                       AVE     98104","1000","   ","  ","8TH                      ","AVE ","  ","98104",14,300,3,2,6,"1000 Eighth Avenue Apartments                     ",333244,218010,1949,1990,100,5,"N","Y"
"1142",859040,545,3,1,"908          JEFFERSON                 ST      98104","908","   ","  ","JEFFERSON                ","ST  ","  ","98104",3,300,2,4,3,"SIX UNIT APARTMENT                                ",5008,5008,1900,1970,100,3," "," "
"1143",859040,905,1,1,"910          8TH                       AVE     98104","910","   ","  ","8TH                      ","AVE ","  ","98104",17,300,2,1,6,"17 Story Mixed Use Building                       ",332781,208852,2006,2006,100,3,"Y","Y"
"1144",524780,2430,1,1,"605          7TH                       AVE  S  98104","605","   ","  ","7TH                      ","AVE ","S ","98104",1,350,2,3,4,"RESTAURANT                                        ",14120,14120,1975,1980,100,17,"N"," "
"1145",766620,4530,1,1,"1702         4TH                       AVE  S  98134","1702","   ","  ","4TH                      ","AVE ","S ","98134",1,353,2,3,4,"RETAIL STORE (M1= #05541560 & #05540562)          ",17600,17600,1980,1980,100,17,"Y"," "
"1146",524780,2350,1,1,"506          MAYNARD                   AVE  S  98104","506","   ","  ","MAYNARD                  ","AVE ","S ","98104",4,459,2,3,5,"MIXED RETAIL W/RES. UNITS                         ",33887,30226,1909,1990,100,7,"N"," "
"1147",331950,515,1,1,"221          18TH                      AVE  S  98144","221","   ","  ","18TH                     ","AVE ","S ","98144",10,300,2,2,6,"                                                  ",97978,76797,1972,1995,100,2,"Y","N"
"1148",357320,5,1,1,"4727         DENVER                    AVE  S  98134","4727","   ","  ","DENVER                   ","AVE ","S ","98134",2,406,2,3,4,"WAREHOUSE & OFFICES                               ",104786,104786,1969,1980,100,6,"Y"," "
"1149",766670,2155,4,1,"3444         13TH                      AVE  SW 98134","3444","   ","  ","13TH                     ","AVE ","SW","98134",1,494,2,5,3,"FOUNDRY                                           ",13248,13248,1994,1994,100,20,"N"," "
"1150",766620,6900,1,1,"505          1ST                       AVE  S  98104","505","   ","  ","1ST                      ","AVE ","S ","98104",7,344,4,2,6,"505 FIRST AVENUE S                                ",443509,285914,2009,2009,100,17,"Y","Y"
"1151",357320,225,1,1,"4600         EAST MARGINAL             WAY  S  98134","4600","   ","  ","EAST MARGINAL            ","WAY ","S ","98134",1,406,2,3,4,"OFFICE/WAREHOUSE                                  ",19950,19950,1941,1960,100,6,"N"," "
"1152",766620,2695,1,1,"804          6TH                       AVE  S  98134","804","   ","  ","6TH                      ","AVE ","S ","98134",2,494,2,3,4,"WAREHOUSE                                         ",19280,19280,1924,1980,100,6,"N"," "
"1153",360,8,1,1,"2810      S  MCCLELLAN                 ST      98144","2810","   ","S ","MCCLELLAN                ","ST  ","  ","98144",2,352,3,4,4,"4 PLEX                                            ",2878,2702,1959,1981,100,2,"N","N"
"1154",395790,100,1,1,"4500         DENVER                    AVE  S  98134","4500","   ","  ","DENVER                   ","AVE ","S ","98134",1,528,2,5,6,"NP R R ENGINE REPAIR SHOP                         ",6490,6490,1970,1975,100,6,"N"," "
"1155",912200,270,1,1,"2400         BEACON                    AVE  S  98144","2400","   ","  ","BEACON                   ","AVE ","S ","98144",1,528,2,4,4,"SERVICE GARAGE                                    ",2690,2690,1928,1975,100,6,"N"," "
"1156",56700,735,1,1,"1113         29TH                      AVE  S  98144","1113","   ","  ","29TH                     ","AVE ","S ","98144",1,352,2,4,3,"FOURPLEX                                          ",3480,3480,1963,1978,100,2,"N","N"
"1157",766620,7220,1,1,"2401         UTAH                      AVE  S  98134","2401","   ","  ","UTAH                     ","AVE ","S ","98134",6,353,2,2,4,"RETAIL                                            ",263600,263596,1912,1971,100,4,"Y","Y"
"1158",859040,755,1,1,"517          9TH                       AVE     98104","517","   ","  ","9TH                      ","AVE ","  ","98104",3,352,2,3,4,"TERRACE CREST APT'S                               ",32688,23300,1930,1977,100,4,"N","N"
"1159",817010,250,1,1,"507          12TH                      AVE  S  98104","507","   ","  ","12TH                     ","AVE ","S ","98104",1,494,2,3,5,"WAREHOUSE                                         ",4320,4320,1931,1990,100,20,"N"," "
"1160",128230,1400,1,1,"3417         RAINIER                   AVE  S  98144","3417","   ","  ","RAINIER                  ","AVE ","S ","98144",2,309,2,4,5,"CHURCH                                            ",4036,4036,1990,1990,100,3,"N"," "
"1161",524780,2740,1,1,"420          7TH                       AVE  S  98104","420","   ","  ","7TH                      ","AVE ","S ","98104",4,551,2,3,2,"RETAIL W/SRO'S                                    ",30210,25600,1916,1970,100,7,"N"," "
"1162",766620,3010,3,1,"918       S  LANDER                    ST      98134","918","   ","S ","LANDER                   ","ST  ","  ","98134",2,406,2,3,4,"PART OF THEIR BLDG #1                             ",38167,38167,1973,1985,100,4,"N"," "
"1163",766620,4745,1,1,"1000         4TH                       AVE  S  98134","1000","   ","  ","4TH                      ","AVE ","S ","98134",2,407,2,3,4,"SALVATION ARMY (WAREHOUSE)                        ",56160,56160,1930,1977,100,7,"N"," "
"1164",817010,85,1,1,"1024      S  KING                      ST      98104","1024","   ","S ","KING                     ","ST  ","  ","98104",1,447,2,3,4,"ACME POULTRY CO                                   ",8442,8442,1946,1946,100,20,"N"," "
"1165",766620,6440,1,1,"1518         1ST                       AVE  S  98134","1518","   ","  ","1ST                      ","AVE ","S ","98134",6,820,2,3,4,"OFFICE/RESTAURANT                                 ",63000,48060,1907,1985,100,17,"Y"," "
"1166",429480,175,1,1,"720          30TH                      AVE  S  98144","720","   ","  ","30TH                     ","AVE ","S ","98144",2,309,2,3,4,"CHURCH                                            ",10072,10072,1951,1969,100,3,"N"," "
"1167",766620,5180,2,1,"2255         4TH                       AVE  S  98134","2255","   ","  ","4TH                      ","AVE ","S ","98134",1,472,3,5,6,"VEHICLE STORAGE SHED                              ",5460,5460,2005,2005,100,20," "," "
"1168",912200,965,1,1,"2345         24TH                      AVE  S  98144","2345","   ","  ","24TH                     ","AVE ","S ","98144",1,352,2,4,4,"5 UNIT APT                                        ",2496,2080,1959,1981,100,10,"N","N"
