"","Major","Minor","BldgNbr","NbrLivingUnits","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode","Stories","BldgGrade","BldgGradeVar","SqFt1stFloor","SqFtHalfFloor","SqFt2ndFloor","SqFtUpperFloor","SqFtUnfinFull","SqFtUnfinHalf","SqFtTotLiving","SqFtTotBasement","SqFtFinBasement","FinBasementGrade","SqFtGarageBasement","SqFtGarageAttached","DaylightBasement","SqFtOpenPorch","SqFtEnclosedPorch","SqFtDeck","HeatSystem","HeatSource","BrickStone","ViewUtilization","Bedrooms","BathHalfCount","Bath3qtrCount","BathFullCount","FpSingleStory","FpMultiStory","FpFreestanding","FpAdditional","YrBuilt","YrRenovated","PcntComplete","Obsolescence","PcntNetCondition","Condition","AddnlCost"
"2013",128230,1105,1,1,"3260   MCCLINTOCK AVE S  98144","3260","   ","  ","MCCLINTOCK               ","AVE   ","S ","98144",1.5,7,0,880,350,0,0,0,0,1230,0,0,0,0,0," ",60,0,0,5,2,0," ",2,0,1,1,0,0,1,0,1913,0,0,0,0,3,0
"2014",128530,75,1,1,"2441  S JUDKINS ST   98144","2441","   ","S ","JUDKINS                  ","ST    ","  ","98144",2,7,0,1000,0,900,0,0,0,1900,0,0,0,0,0," ",60,0,0,5,2,0," ",3,1,0,2,0,0,0,0,1995,0,0,0,0,3,0
"2015",246090,25,1,1,"939   24TH AVE S  98144","939","   ","  ","24TH                     ","AVE   ","S ","98144",1.5,7,0,860,700,0,0,0,0,1560,0,0,0,0,0," ",140,0,300,5,2,0," ",3,0,0,1,0,0,0,0,1907,0,0,0,0,4,0
"2016",246090,45,1,1,"940   23RD AVE S  98144","940","   ","  ","23RD                     ","AVE   ","S ","98144",1.5,6,0,900,240,0,0,0,0,1140,780,0,0,0,0," ",50,0,500,5,2,0," ",3,0,0,3,0,0,0,0,1900,2006,0,0,0,3,0
"2017",142630,560,1,1,"3516   CHEASTY BLVD S  98144","3516","   ","  ","CHEASTY                  ","BLVD  ","S ","98144",1,7,0,1060,0,0,0,0,0,1660,1030,600,6,240,0,"Y",0,0,0,5,1,0," ",3,0,0,1,0,1,0,1,1960,0,0,0,0,3,0
"2018",142680,50,1,1,"3656   24TH AVE S  98144","3656","   ","  ","24TH                     ","AVE   ","S ","98144",1,6,0,790,0,0,0,0,0,1290,790,500,6,260,0,"N",0,0,0,5,2,0,"N",2,0,0,1,0,0,0,0,1924,0,0,0,0,3,0
"2019",379600,35,1,1,"2506  S WASHINGTON ST   98144","2506","   ","S ","WASHINGTON               ","ST    ","  ","98144",1,7,0,1030,0,0,0,0,0,1030,0,0,0,0,0,"N",0,0,0,4,3,0," ",3,0,0,1,0,0,0,0,1972,0,0,0,0,3,0
"2020",379600,40,1,1,"112   25TH AVE S  98144","112","   ","  ","25TH                     ","AVE   ","S ","98144",3,9,0,500,0,500,400,0,0,1400,0,0,0,0,0,"N",0,0,100,6,2,0," ",2,0,1,1,1,0,0,0,2008,0,0,0,0,3,0
"2021",379600,205,1,1,"115   28TH AVE S  98144","115","   ","  ","28TH                     ","AVE   ","S ","98144",2,7,0,730,0,730,0,0,0,1460,360,0,0,0,0," ",0,0,0,5,2,0," ",3,0,0,1,0,1,0,0,1924,0,0,0,0,4,0
"2022",379600,220,1,1,"2753  S WASHINGTON ST   98144","2753","   ","S ","WASHINGTON               ","ST    ","  ","98144",3,9,0,1540,0,1060,340,0,0,3440,1060,500,7,0,0," ",0,0,0,6,2,0," ",5,2,1,3,0,1,0,0,1904,0,0,0,0,5,0
"2023",379600,325,1,2,"216   26TH AVE S  98144","216","   ","  ","26TH                     ","AVE   ","S ","98144",2,7,0,900,0,860,0,0,0,1760,0,0,0,0,0,"N",0,0,0,4,3,0," ",4,0,0,2,0,0,0,0,1984,0,0,0,0,3,0
"2024",128230,600,1,2,"3350   MARTIN LUTHER KING JR WAY S  98144","3350","   ","  ","MARTIN LUTHER KING JR    ","WAY   ","S ","98144",2,8,0,1510,0,1470,0,0,0,2980,0,0,0,0,0," ",110,0,0,5,2,0," ",6,0,0,4,0,0,0,0,2007,0,0,0,0,3,0
"2025",128230,791,1,1,"3317 B  WETMORE AVE S  98144","3317","B  ","  ","WETMORE                  ","AVE   ","S ","98144",2,7,0,390,0,400,0,0,0,790,0,0,0,0,0," ",0,0,0,3,2,0," ",1,0,0,1,0,0,0,0,2008,0,0,0,0,3,0
"2026",128230,820,1,1,"3333   WETMORE AVE S  98144","3333","   ","  ","WETMORE                  ","AVE   ","S ","98144",2,7,0,602,0,1130,0,0,0,1732,0,0,0,0,520," ",0,0,0,5,2,0,"Y",5,0,0,3,1,0,0,0,1999,0,0,0,0,3,0
"2027",128230,1095,1,1,"3262   MCCLINTOCK AVE S  98144","3262","   ","  ","MCCLINTOCK               ","AVE   ","S ","98144",1.5,7,0,1070,430,0,0,0,0,1500,520,0,0,0,0," ",80,0,0,6,1,0," ",4,0,0,1,0,0,0,0,1913,0,0,0,0,3,0
"2028",128530,20,1,1,"2411  S JUDKINS ST   98144","2411","   ","S ","JUDKINS                  ","ST    ","  ","98144",1.5,7,0,780,400,0,0,0,0,1960,780,780,5,0,0,"Y",60,0,0,5,2,0," ",3,0,1,1,0,0,0,0,1923,0,0,0,0,3,0
"2029",128530,50,1,1,"2429  S JUDKINS ST   98144","2429","   ","S ","JUDKINS                  ","ST    ","  ","98144",2,7,0,580,0,590,0,0,0,1170,0,0,0,0,0," ",50,0,0,1,3,0," ",3,1,0,1,0,0,0,0,1993,0,0,0,0,3,0
"2030",138980,66,1,1,"1412  S LANDER ST   98144","1412","   ","S ","LANDER                   ","ST    ","  ","98144",2,7,0,370,0,370,0,0,0,740,0,0,0,0,0," ",0,0,0,4,3,0," ",2,1,0,1,0,0,1,0,2004,0,0,0,0,3,0
"2031",140030,95,1,1,"702   MARTIN LUTHER KING JR WAY S  98144","702","   ","  ","MARTIN LUTHER KING JR    ","WAY   ","S ","98144",3,7,0,880,0,880,570,0,0,3130,880,800,7,0,0,"Y",260,0,140,5,2,0," ",6,0,0,3,0,0,0,0,1920,2005,0,0,0,3,0
"2032",379600,390,1,1,"217   26TH AVE S  98144","217","   ","  ","26TH                     ","AVE   ","S ","98144",2,7,0,600,0,640,0,0,0,1240,600,0,0,600,0," ",20,0,60,5,2,0," ",2,1,1,1,1,0,0,0,2003,0,0,0,0,3,0
"2033",246090,85,1,1,"929   23RD AVE S  98144","929","   ","  ","23RD                     ","AVE   ","S ","98144",1,6,0,960,0,0,0,0,0,1920,960,960,5,0,0,"Y",40,0,0,5,2,0," ",2,0,0,1,0,0,2,0,1905,0,0,0,0,3,0
"2034",56700,728,1,1,"929 B  29TH AVE S  98144","929","B  ","  ","29TH                     ","AVE   ","S ","98144",2,7,0,400,0,600,0,0,0,1000,0,0,0,0,200," ",0,0,0,4,3,0," ",3,0,0,2,0,0,0,0,1994,0,0,0,0,3,0
"2035",142630,108,1,2,"2703  S HINDS ST   98144","2703","   ","S ","HINDS                    ","ST    ","  ","98144",1,7,0,1210,0,0,0,0,0,1210,1210,0,0,730,0,"Y",120,0,0,4,3,30," ",2,0,0,2,0,0,0,0,1960,0,0,0,0,3,0
"2036",16100,25,1,1,"1717   30TH AVE S  98144","1717","   ","  ","30TH                     ","AVE   ","S ","98144",2,7,0,1010,0,870,0,0,0,1880,730,0,0,0,0,"N",170,0,0,5,1,0,"Y",4,0,0,1,0,1,0,0,1905,0,0,0,0,3,0
"2037",16100,65,1,1,"1704   30TH AVE S  98144","1704","   ","  ","30TH                     ","AVE   ","S ","98144",2,7,0,1060,0,1010,0,0,0,2970,1040,900,7,0,0,"N",230,0,0,4,3,0,"N",5,1,1,1,1,0,0,0,1913,0,0,0,0,4,0
"2038",63500,30,1,1,"3522  S LESCHI PL   98144","3522","   ","S ","LESCHI                   ","PL    ","  ","98144",1,8,0,540,0,0,0,0,0,1010,470,470,7,0,0,"N",50,80,0,3,2,0,"N",2,0,1,1,0,0,1,0,1906,2004,0,0,0,3,0
"2039",63500,175,1,1,"3519  S LESCHI PL   98144","3519","   ","S ","LESCHI                   ","PL    ","  ","98144",2,8,0,720,0,710,0,0,0,1790,720,360,8,360,0,"Y",0,0,270,5,2,0,"N",3,0,2,2,0,0,1,0,1988,0,0,0,0,3,15950
"2040",63500,160,1,1,"3509  S LESCHI PL   98144","3509","   ","S ","LESCHI                   ","PL    ","  ","98144",3,10,0,1110,0,1110,890,0,0,3420,310,310,10,0,0,"Y",0,0,550,5,2,0,"Y",4,2,0,3,0,1,0,0,1988,0,0,0,0,4,0
"2041",63500,130,1,1,"3508  S JACKSON ST   98144","3508","   ","S ","JACKSON                  ","ST    ","  ","98144",2,10,0,1120,0,700,0,0,0,3220,2650,1400,9,0,0,"N",78,0,894,5,2,0,"N",3,1,0,2,0,0,1,0,2001,0,0,0,0,3,0
"2042",63500,165,1,1,"3513  S LESCHI PL   98144","3513","   ","S ","LESCHI                   ","PL    ","  ","98144",3,9,0,570,0,540,440,0,0,1550,480,0,0,420,0," ",0,0,590,5,2,0,"y",3,1,0,2,0,0,0,0,1990,0,0,0,0,3,0
"2043",66900,50,1,1,"1912   30TH AVE S  98144","1912","   ","  ","30TH                     ","AVE   ","S ","98144",1.5,7,0,1010,900,0,0,0,0,1910,970,0,0,0,0,"N",80,120,0,5,2,0,"N",3,0,1,1,0,0,1,0,1910,0,0,0,0,4,0
